subject,object,S
South Korea,Won,"South Korea mirrored their endeavors in Japan: the group won multiple Best New Artists awards during the early days of their career in the country.
Their album Tonight (2010) became the very first K-pop album to reach the Top 10 on US iTunes chart. In addition, it also charted third on World Albums of the Billboard Chart, a rare feat for a non-English album without promotion. With pre-sale orders of 10,000 copies in Cyworld, Big Bang beat the record set by TVXQ's 6,500 copies back in 2008. Emerging as MTV EMA's 2011 Best Worldwide Act, Big Bang became an international icon. Additionally, their 2012 concert set the record for highest ticket sales in Taiwan. In 2014, they were listed as # 2 on Forbes Korea Top 10 Celebrities of 2014. The group currently holds the record as the only artist to win more than one Artist of the Year Award from the Mnet Asian Music Awards, having won"
South Korea,Won,"South Korea won the Grand Prix award with the song ""For a Rest"" performed by boy band Billy Acoustie. Danielle Blakey representing Australia won"
South Korea,Won,"South Korea had dropped drastically since its high-point in the 1960s. Kim Ki-young, however, working independently in B-movie-like genre films, began to produce some of his most innovative and personal works at this time. Kim fully regained his auteurist spirit with Woman of Fire (1971), the second of his Housemaid trilogy. The use of color, particularly reds and blues to express the anxiety and desires of the film's characters, distinguished this film from the original Housemaid's dark, shadowy black-and-white photography. For this film, Kim was named Best Director at the Blue Dragon Film Awards and actress Youn Yuh-jung was given Special Mention for Best Actress at the Festival de Cine de Sitges. Not only popular with the critics, Kim's independently produced films were box-office successes during this era in which most films were harmed through heavy governmental interference. In 1972 Kim's Insect Woman was the only film to sell more than 100,000 tickets in Seoul and won"
South Korea,Won,"South Korea alone, he and his music label YG Entertainment have raked in almost US $1 million from advertisements which appear on YouTube videos identified for using ""Gangnam Style"" in its content. The Harvard Business Review published an article written by Kevin Evers, who explained how ""Gangnam Style"" had changed Billboard's ranking methodology of its music charts. Instead of relying solely on radio plays and paid purchases, Billboard started to place a heavier emphasis on digital sales and YouTube views. As a result of the change, Gangnam Style moved up to the top position of Billboard's Hot Rap Songs music chart. According to the British Phonographic Industry's report based on Official Charts Company sales data, thanks to Psy's song and Carly Rae Jepsen ’ s ""Call Me Maybe,"" pop became the UK ’ s favourite musical genre of the year, taking the lion ’ s share of the singles market (38.5%) in 2012.
= = Track listing = =
= = Credits and personnel = =
Psy – vocals, producer, songwriter (lyrics and music)
Yoo Gun-hyung – producer, songwriter (music), arrangement
Credits adapted from Psy 6 (Six Rules), Part 1 EP liner notes and YG Entertainment official website.
= = Accolades and records = =
= = = Awards and nominations = = =
= = = Records attained = = =
The song and its accompanying music video currently hold, or have attained, the following records:
Most viewed K-pop video on YouTube – On September 1, 2012, it overtook ""Gee"" by the 9-member K-Pop idol-group Girls' Generation with 89 million views.
Most liked video on YouTube – On September 13, 2012, it overtook ""Party Rock Anthem"" by the American electro recording duo LMFAO upon receiving 1.57 million ""likes"", and subsequently won"
South Korea,Won,"South Korea Gaon International Chart during the week ending February 7, 2010.
= = Background = =
""Poison"" was written by Johntá Austin, Mikkel S. Eriksen and Tor Erik Hermansen of the production team Stargate and Beyoncé for her third studio album I Am … Sasha Fierce (2008). It was produced by Stargate and Beyoncé while the audio mixing was done by Carlos Otanedel and Damien Lewis at Soapbox Studios in Atlanta. The instrumentation of the song was provided by Stargate at the Roc the Mic studio in New York and the recording was done by Mikkel S. Eriksen. Jim Caruana also worked on the recording of the song.
Prior to the official premiere of the song on I Am... Sasha Fierce, ""Poison"" was included on a mixtape by DJ Haze which was called Big R & B Ego. This version was leaked on the Internet in August 2009. ""Poison"" was not included on the track-listing of the standard version of I Am... Sasha Fierce; it was included on a re-issue of the deluxe edition of the album instead, which was released on November 23, 2009. An extended play (EP) titled I Am... Sasha Fierce – The Bonus Tracks was also released on the same date in several countries featuring new songs including ""Poison"", ""Why Don't You Love Me"" and a remix of ""Video Phone featuring Lady Gaga."" Poison ""later became an A-side to the European single release of"" Broken-Hearted Girl ""and an EP release of"" Video Phone ""both in 2009.
= = Composition and critical reception = =
According to the sheet music published by EMI Music Publishing on the website Musicnotes.com, ""Poison"" is a slow-tempo song with hundred beats per minute. It was composed using common time in the key of G major. Beyoncé's vocals range from the low note of G3 to the high note of D5. In the song, Beyoncé sings about a relationship that she knows is not good for her, but still one that she cannot give up. ""Poison"" is complete with stuttering beats coupled with the singer's ""liquidy"" voice as stated by Sonya Eskridge of Sister 2 Sister magazine.
A writer of Rap-Up magazine noted that the remix of the song which was featured on the mixtape Big R & B Ego was ""potent, but not quite fatal"". Eskridge of Sister 2 Sister wrote in her review of the song that ""we can't help but won"
South Korea,Won,"South Korea from June 6 and ran through August 23, and will travel to Shanghai and Singapore. He also became the face of Airbnb in the Asian market in August 2015.
He participated in the Infinite Challenge music contest for the third time in row, this time with Taeyang. The duet teamed up with ZE: A's Hwang Kwanghee.
= = Image and artistry = =
= = = Public image = = =
Described as the ""most fashionable"" one in Big Bang, G-Dragon is noted for his constantly changing image and tight control over his artistry and has strongly opposed the idea of singers as ""products"" of the entertainment industry.
While promoting Heartbreaker, his change in hairstyle by dyeing it blonde gained popularity among his fans and became one of the top hairstyles of the year. He has consistently altered his hair throughout the years, ranging from various shades of colors to different cuts. Additionally, his constant sporting of triangular scarves became a trend among teenagers and were later nicknamed the ""Big Bang scarves."" G-Dragon is noted for his androgynous appearance and have collaborated with Italian footwear designer Giuseppe Zanotti to launch a limited-edition collection of men's and women's shoes, stating that ""it's not just girls or women who get excited and worked up over pretty shoes. [...] [G] uys can feel that way, too."" G-Dragon's fashion has been described as ""quirky and experimental"" by Rushali Pawar of the International Business Times while Taylor Glasby from the British Magazine Dazed and Confused characterized GD's style as ""fluid and far-reaching,"" calling him a ""natural style chameleon.""
Because of his constant change in image, G-Dragon has won multiple awards, including the Style Icon of 2008 and the award for Most Influential Men of 2008 sponsored by Arena magazine. In 2013, G-Dragon was listed in the Style Icon Top 10, later garnering the 2013 Style Icon of the Year Award. He is the first solo singer to win the award undivided. In 2015, he was chosen by GQ Korea as their Man of the Year. He also won the Fashionista Award in 2015. G-Dragon has attract the attention of other celebrities for his fashion sense. Fashion icon Kang Dong Won also acknowledged G-Dragon's influences during an interview, calling the singer a ""fashionista."" TV personality Kim Jun Hee, when speaking at the Fashion N's ""Follow Me Season 2"", spoke of her admiration for the artist, stating how ""[n] ot only does G-Dragon have a great taste in fashion, but he can write and compose music like a genius."" Canadian singer Grimes also stated that K-pop has influenced her musical style ""more visually than anything else,"" in particular G-Dragon.
Initially, G-Dragon admitted to being self-conscious of his role as a musician, noting how he had ""changed many things including the tone of my voice because I was conscious about my job when I was in front of others."" Aware that his public image is important when promoting his materials, G-Dragon notes that ""what the public perceives of [my physical appearance] is my doing so it's my fault if I give off the wrong intention."" In recent years, he has become more relaxed, stating that now he doesn't ""do music or dress up in order to impress people around me. I don't try to be conscious [about music and fashion]."" Despite his success as a solo artist and leader of Big Bang, G-Dragon has admitted that he didn't realize how famous he was until he went on Big Bang's World Tour. He was later highlighted as one of the ""50 Reasons Why Seoul is the Best City"" by CNN in 2011 while in 2015, was picked as one of Business of Fashion's ""500 Global Fashion Leaders,"" making him 1 of 5 Koreans on the list, and the only K-Pop act to have made the cut. In 2016, G-Dragon was chosen as one of the top 10 most influential celebrities in China by Chinese media outlet Sina, he became the first international artist to be placed within the top 10 of Sina's Most Influential Stars rankings.
= = = Musical style, lyrics and composition = = =
Inspired by music by the Wu-Tang Clan and citing American singer Pharrell Williams as his ""musical hero,"" G-Dragon participated in the annual hip hop Flex album in 2001 at the age of 12, establishing his career as an artist. During the early days of Big Bang's career, the band was marketed predominately as a hip-hop group, though they went on to experiment with electronic music and setting it as the new music trend in Korea. From previous exposure to a range of genres with Big Bang, G-Dragon incorporated a mix of dance, hip-hop, and R & B songs into Heartbreaker. During the production for the collaboration album GD & TOP, G-dragon opted for a more hip-hop sound, though he does acknowledge that R & B, acoustic, and electronic music heavily influenced it.
Since becoming a solo artist, G-Dragon has maintained tight control over his music, stating that ""each feeling [in creating the music] is different"", using his emotions to direct the lyrical content and the composition of his songs. The lyrics in his song ""A Boy"" was in response the negative criticisms surrounding his 2009 plagiarism controversy, with the artist refusing to give up on his career despite the setbacks. Big Bang's song ""If You"" was inspired during a time when the artist was in love while ""Loser"" was written in an attempt to humanize the group. To distinguish himself from other artists and composers, G-Dragon admits to ""giving twist and turn at every corner and evoking [a] different story"" with each part of his music, acknowledging that although the chorus is the catchiest part of the song, he wants all the parts to his song to be remembered. Prior to his establishment as a solo artist, he was also involved with the production of Big Bang's albums, writing and composing majority of their songs. Aside from producing songs for his own band, G-Dragon has also produces for other artists, including bandmates Taeyang and Seungri, and iKon
G-Dragon's contributions to his own music have garnered him praises and criticism alike. Preferring to pen lyrics that ""sound like an actual story,"" he has been referred to as a ""genius singer-songwriter,"" though the rapper has expressed being uncomfortable with the label. His effort to create melodies won"
Switzerland,Franc,"Switzerland is 56% from hydroelectricity and 39% from nuclear power, resulting in a nearly CO2-free electricity-generating network. On 18 May 2003, two anti-nuclear initiatives were turned down: Moratorium Plus, aimed at forbidding the building of new nuclear power plants (41.6% supported and 58.4% opposed), and Electricity Without Nuclear (33.7% supported and 66.3% opposed).
The former ten-year moratorium on the construction of new nuclear power plants was the result of a citizens' initiative voted on in 1990 which had passed with 54.5% Yes vs. 45.5% No votes. Plans for a new nuclear plant in the Canton of Bern have been put on hold after the accident at the Fukushima Daiichi power plant in 2011. The Swiss Federal Office of Energy (SFOE) is the office responsible for all questions relating to energy supply and energy use within the Federal Department of Environment, Transport, Energy and Communications (DETEC). The agency is supporting the 2000-watt society initiative to cut the nation's energy use by more than half by the year 2050.
On 25 May 2011 the Swiss government announced that it plans to end its use of nuclear energy in the next 2 or 3 decades. ""The government has voted for a phaseout because we want to ensure a secure and autonomous supply of energy"", Energy Minister Doris Leuthard said that day at a press conference in Bern. ""Fukushima showed that the risk of nuclear power is too high, which in turn has also increased the costs of this energy form."" The first reactor would reportedly be taken offline in 2019 and the last one in 2034. Parliament will discuss the plan in June 2011, and there could be a referendum as well.
The most dense rail network in Europe of 5,063 km (3,146 mi) carries over 350 million passengers annually. In 2007, each Swiss citizen travelled on average 2,258 km (1,403 mi) by rail, which makes them the keenest rail users. The network is administered mainly by the Federal Railways, except in Graubünden, where the 366 km (227 mi) narrow gauge railway is operated by the Rhaetian Railways and includes some World Heritage lines. The building of new railway base tunnels through the Alps is under way to reduce the time of travel between north and south through the AlpTransit project.
Swiss private-public managed road network is funded by road tolls and vehicle taxes. The Swiss autobahn / autoroute system requires the purchase of a vignette (toll sticker) — which costs 40 Swiss franc"
Switzerland,Franc,"Switzerland struggled with buying and building modern combat aircraft. The fourteen Bf 109G Gustavs acquired from the Germans (including two interned) proved increasingly difficult to maintain, and were removed from service in 1947, although the ""Emil"" variants purchased earlier continued on until 1949. The Swiss also acquired nearly 200 aircraft interned after violating its sovereignty, but most were unsuitable for Swiss operations.
However, in 1948 the Swiss were able to purchase 130 surplus P-51 Mustangs from the United States. Several other aircraft types followed, including the 220 de Havilland Vampires purchased in 1949 and 1953, 250 de Havilland Venoms acquired 1954-56, and 100 Hawker Hunters from 1958. The P-51s replaced the Messerschmitt Bf 109s and remained operational for a decade. Both the Venoms and Vampires showed remarkable longevity, with the Venoms in service until 1983 and the Vampires until 1990, more than 40 years. Remarkably the Swiss Air Force after these acquisitions was the first air force in the world to operate only jet aircraft in their front-line squadrons.
= = = N-20 and P-16 = = =
The Swiss government experimented in development and production of its own jet fighters, the FFA P-16 and the N-20 Aiguillon, but was not satisfied with them, desiring relatively simple aircraft that did not require extensive training and thus could be flown by militia pilots. These aircraft were developed in accordance with the doctrine of the Swiss Air Force that close air support of ground operations was its main task. The National Defense Commission (LVK), however, based on the experiences of World War II, also desired an aircraft capable of both ""neutrality protection and raid-type operations"", and the result was projects with inherent self-contradictions.
Hoping that competition would lead to the development of effective but simple ground-attack aircraft, the government asked the Flugzeugwerk Altenrhein (FFA, or ""Aircraft Factory Altenrhein"") and the Federal Aircraft Factory Emmen to develop jet-propelled fighters. Although the Federal Institute of Technology had a world-renowned aerodynamics laboratory, both projects ended in fiasco, as a result of which the Hunter was purchased instead and introduced into service in 1958.
Both models were plagued from the onset by inefficient engines, but were capable of the short-distance takeoffs required by the Swiss (330 meters for the P – 16, 232 meters for the N-20). After wind tunnel and engine tests, but before the N – 20 could make its maiden flight, Federal Councillor Karl Kobelt cancelled the N-20 project in 1953, leading to much resentment of the government by Emmen engineers when the FFA project was continued. Eventually, neither of the aircraft came into production, although the wings of the P-16 were later used in the development of the successful Learjet.
The Eidgenössische Flugzeugwerke Emmen N-20 was a semi-tailless swept wing jet similar to the U.S. Navy's Vought F7U Cutlass with four engines mounted internally in the wings, fold-out canards to improve its aerodynamics at slow speeds, and a maximum designed airspeed of 1200 km / h, a remarkable velocity for an aircraft of the early 1950s. The FFA P-16 was a single-engine straight-wing aircraft for which a contract for production of 100 aircraft was awarded in 1958, but after the second crash of a pre-production model, the order was canceled. The aircraft had met all Swiss Air Force requirements for an STOL attack fighter capable of carrying heavy loads, and the crash was widely considered a pretext for the Swiss parliament to reverse itself. In addition, by the middle of 1958, influenced by NATO concepts, the LVK had redefined the Swiss doctrine of air power from close air support to counter-air operations. Further, the strategic concepts governing Swiss defense doctrine had shifted to a dynamic (mobile) defense that included execution of air missions beyond the Swiss border and the possibility of carrying nuclear weapons, for neither of which the P – 16 was suitable. In this time, the Swiss Air Force also tested a few from the Swiss industry-developed Ground to Air Defence Systems but didn't introduce any of them into service (see: 35 mm anti aircraft tank B22L, RSD 58 and RSE Kriens (Missile)). Also a Mobile Ground to Air Defence System based on the Swiss wheeled APC Mowag Shark equipped with the French Crotale (missile) was not bought for the Swiss Air Force.
= = = Mirage affair = = =
The acquisition of the Hunter had solved part of the Swiss dilemma of needing to support both its ground forces and to deploy an air-to-air capability, but while the Hunter could provide some counter-air defense over a battlefield and escort ground-support fighters it was not supersonic nor was it capable of defending Swiss airspace. In 1961, the Swiss Parliament voted to procure 100 French Dassault Mirage IIICs for this purpose and 67 BL-64 Bloodhound surface-to-air missiles from the British.
The Swiss acquired a single Mirage for testing, as a preface to production under license of 100 Dassault Mirage IIIS interceptors, with strengthened wings, airframe, and undercarriage. Avionics would differ as well, with the Thomson-CSF Cyrano II radar replaced by the Hughes Electronics TARAN-18 system, to provide the Mirage IIIS compatibility with the AIM-4 Falcon air-to-air missile. The Mirage IIIS was intended to be operated as an interceptor, ground attack, and reconnaissance aircraft, using wing pods for the photographic mission.
Production of the Mirage IIIS developed into a scandal. Although the Air Force staff wanted to acquire the best available aircraft on the market, neither it nor the Federal Council had issued performance specifications. The concept of mobile defense had replaced static defense, such as the Réduit strategy of World War II, as the doctrine of the Swiss Armed Forces. The new doctrine required greater numbers of long-range aircraft and tanks in order to combat Soviet troops before they arrived near the Swiss border. The committee on aircraft procurement, which consisted of two military officers and an engineer who was employed by the army, originally proposed ""at least 100 Mirages"" to be employed in a multi-role capacity.
The parliament first authorized approximately 871 million Swiss franc"
Switzerland,Franc,"Switzerland to view filming locations used for famous Yash Raj films including Dilwale Dulhania Le Jayenge. In 2014, Yash Raj Films released Aditya Chopra Relives... Dilwale Dulhania Le Jayenge (As Told to Nasreen Munni Kabir), an attractive but expensive book about the making of the film. In response to Indian prime minister Narendra Modi quoting the line ""May the force be with you"" from the American film franc"
Switzerland,Franc,"Switzerland from the early 1930s, and despite strict currency controls, his salary was paid in Swiss franc"
Switzerland,Franc,"Switzerland in 1977, and its holding has since been headquartered in Bad Zurzach. By 1986, sales increased to 996 million Swiss francs and the number of employees fell slightly to 19,000 employees. At the same time, sales began in the People's Republic of China and beginning in 1988, individual Triumph products were manufactured under license in East Germany for the local market. This included swimwear in addition to underwear.
With the takeover of two French name brands, HOM and Valisère, Triumph International ventured into the men's underwear and high-quality lingerie market. At the same time, the company announced in 1995 that in the future it would focus more on its Triumph umbrella brand, under which a number of brands would be classified. To that end, an advertising campaign was launched featuring Naomi Campbell and Helena Christensen. In the 1990s, Triumph International launched another phase of international expansion, and since 1998 it has been present on the subcontinent of India. In 2001, its newest production facility opened in Dunaújváros (Hungary). After the turn of the millennium, Triumph was one of the biggest textile manufacturers in terms of sales in the domestic market.
From 2008 to 2012, the company hosted the Triumph Inspiration Awards, where lingerie designers were able to compete according to an annually changing theme. The entries were evaluated both by a jury and according to the votes by visitors to the competition website. In 2009, the competition attracted broader attention, particularly as that event was held in London. Initially a local competition was held in the participating countries prior to the international final competition.
Since 2012, all the collections of Triumph International have been tested for harmful substances and certified under the Oeko-tex standard for textiles, after individual products had been successfully tested as early as 1993 when the initiative was established.
In recent years, the company has expanded, opening new stores of its own and acquiring competitors. In 2010, Triumph International acquired Beldona, the leading Swiss distributor of lingerie, and later purchased other distributors in Mexico and the United States. In the latter country, Triumph International has also acquired the majority stake in the luxury dealer Journelle and has since opened two Triumph stores in New York City. The Triumph International AG, headquartered in Munich, under which the company's German business is associated, was once again fully acquired by the company in 2011 through the exclusion of minority shareholders. Since then, company stocks have no longer been traded on the Frankfurt Stock Exchange, and the company is wholly owned by the Braun and Spiesshofer families.
= = Brands = =
The Triumph brand is the focus of the company. Products are divided into several categories for different target groups, with Triumph International typically presenting several collections each year. As of 2010, the importance of shapewear for the company increased, and Triumph's sale of these products attracted special attention. In 2013, Triumph was honored as one of the best brands. In 2015, the Magic Wire bra received the Red Dot Design Award.
In the late 1970s, Triumph International launched the sloggi cotton underwear brand, at first only for female customers and later also with products for men (sloggi Men) and swimwear (sloggi swim). Since the 1980s, Triumph International has also been targeting young customers aged up to 25 years old with the BeeDees brand. The products are characterized by accessories and patterned fabrics. In addition to sloggi and BeeDees, the company has also been marketing sports bras under Triaction since the late 1990s.
In the 1980s HOM, the French manufacturer of upscale underwear for men, was purchased and has since continued as a trademark within the company. The headquarters was located in Marseille. In early 2015, HOM was sold to the Austrian Huber Group, as Triumph wanted to streamline its portfolio. Valisère is the label for upper segment products, which beginning in 2007 became also available in Germany and was used primarily for luxury lingerie. Since 2014, Triumph International no longer uses the Valisère brand in the European market. Instead, the company focuses on Triumph Essence in the premium segment.
Triumph products are distributed both via trade partners and department stores, as well as in their own shops. By the end of 2011, the company had built a network of 2,000 stores in 120 countries, of which 800 are its own stores, 450 are franc"
Turkey,Lira,"Turkey one of the fastest growing economies in the world during that period. However, growth slowed to 1 percent in 2008, and in 2009 the Turkish economy was affected by the global financial crisis, with a recession of 5 percent. The economy was estimated to have returned to 8 percent growth in 2010. According to Eurostat data, Turkish GDP per capita adjusted by purchasing power standard stood at 52 percent of the EU average in 2011.
In the early years of the 21st century, the chronically high inflation was brought under control; this led to the launch of a new currency, the Turkish new lira (Yeni Türk Lirası) in 2005, to cement the acquisition of the economic reforms and erase the vestiges of an unstable economy. In 2009, after only four years in circulation, the Turkish new lira was renamed back to the Turkish lira with the introduction of new banknotes and coins (and the withdrawal of the Turkish new lira banknotes and coins that were introduced in 2005), but the ISO 4217 code of the Turkish new lira (TRY) remains in use for the current Turkish lira"
Turkey,Lira,"Turkey one of the fastest growing economies in the world during that period. However, growth slowed to 1 percent in 2008, and in 2009 the Turkish economy was affected by the global financial crisis, with a recession of 5 percent. The economy was estimated to have returned to 8 percent growth in 2010. According to Eurostat data, Turkish GDP per capita adjusted by purchasing power standard stood at 52 percent of the EU average in 2011.
In the early years of the 21st century, the chronically high inflation was brought under control; this led to the launch of a new currency, the Turkish new lira (Yeni Türk Lirası) in 2005, to cement the acquisition of the economic reforms and erase the vestiges of an unstable economy. In 2009, after only four years in circulation, the Turkish new lira was renamed back to the Turkish lira with the introduction of new banknotes and coins (and the withdrawal of the Turkish new lira banknotes and coins that were introduced in 2005), but the ISO 4217 code of the Turkish new lira (TRY) remains in use for the current Turkish lira"
Turkey,Lira,"Turkey one of the fastest growing economies in the world during that period. However, growth slowed to 1 percent in 2008, and in 2009 the Turkish economy was affected by the global financial crisis, with a recession of 5 percent. The economy was estimated to have returned to 8 percent growth in 2010. According to Eurostat data, Turkish GDP per capita adjusted by purchasing power standard stood at 52 percent of the EU average in 2011.
In the early years of the 21st century, the chronically high inflation was brought under control; this led to the launch of a new currency, the Turkish new lira (Yeni Türk Lirası) in 2005, to cement the acquisition of the economic reforms and erase the vestiges of an unstable economy. In 2009, after only four years in circulation, the Turkish new lira was renamed back to the Turkish lira with the introduction of new banknotes and coins (and the withdrawal of the Turkish new lira banknotes and coins that were introduced in 2005), but the ISO 4217 code of the Turkish new lira (TRY) remains in use for the current Turkish lira"
Turkey,Lira,"Turkey one of the fastest growing economies in the world during that period. However, growth slowed to 1 percent in 2008, and in 2009 the Turkish economy was affected by the global financial crisis, with a recession of 5 percent. The economy was estimated to have returned to 8 percent growth in 2010. According to Eurostat data, Turkish GDP per capita adjusted by purchasing power standard stood at 52 percent of the EU average in 2011.
In the early years of the 21st century, the chronically high inflation was brought under control; this led to the launch of a new currency, the Turkish new lira (Yeni Türk Lirası) in 2005, to cement the acquisition of the economic reforms and erase the vestiges of an unstable economy. In 2009, after only four years in circulation, the Turkish new lira was renamed back to the Turkish lira with the introduction of new banknotes and coins (and the withdrawal of the Turkish new lira banknotes and coins that were introduced in 2005), but the ISO 4217 code of the Turkish new lira (TRY) remains in use for the current Turkish lira"
Turkey,Lira,"Turkey one of the fastest growing economies in the world during that period. However, growth slowed to 1 percent in 2008, and in 2009 the Turkish economy was affected by the global financial crisis, with a recession of 5 percent. The economy was estimated to have returned to 8 percent growth in 2010. According to Eurostat data, Turkish GDP per capita adjusted by purchasing power standard stood at 52 percent of the EU average in 2011.
In the early years of the 21st century, the chronically high inflation was brought under control; this led to the launch of a new currency, the Turkish new lira (Yeni Türk Lirası) in 2005, to cement the acquisition of the economic reforms and erase the vestiges of an unstable economy. In 2009, after only four years in circulation, the Turkish new lira was renamed back to the Turkish lira with the introduction of new banknotes and coins (and the withdrawal of the Turkish new lira banknotes and coins that were introduced in 2005), but the ISO 4217 code of the Turkish new lira (TRY) remains in use for the current Turkish lira"
Argentina,Peso,"Argentina no longer in compliance with the conditions of the expanded IMF-supported program, the IMF decided to suspend disbursements. At the end of December, in a climate of severe political and social unrest, the country partially defaulted on its international obligations; in January 2002, it formally abandoned the convertibility regime.
The ensuing economic and political crisis was arguably the worst since the country's independence. By the end of 2002, the economy had contracted by 20% since 1998. Over the course of two years, output fell by more than 15%, the Argentine peso"
Argentina,Peso,"Argentina and indeed Latin America as a men dominated part of the world, there was this woman who was playing a very great role. And of course she aroused very different feelings in the people with whom she lived. The oligarchs, as she called the well-to-do and privileged people, hated her. They looked upon her as a ruthless woman. The masses of the people on the other hand worshipped her. They looked upon her as a lady bountiful who was dispensing Manna from heaven.
In 2011, two giant murals of Evita were unveiled on the building facades of the current Ministry of Social Development, located on 9 de Julio Avenue. The works were painted by Argentine artist Alejandro Marmo. On 26 July 2012, to commemorate the sixtieth anniversary of Evita's death, notes were issued in a value of 100 peso"
